id,rank,fighter,dojo,district,birth_date,height,weight,Lat,Lng
60,M14w,Toyonoumi,Futagoyama,Fukuoka,9/22/65,189,210,43.0431112,141.3160186
1285,M16e,Asahisato,Oshima,Osaka,11/9/65,186,140,34.7408836,139.3856256
1303,M12e,Kotofuji,Sadogatake,Chiba,10/28/64,191,141,35.7772605,139.9616965
1292,M16e,Kotogaume,Sadogatake,Toyama,10/5/63,180,180,35.7772605,139.9616965
1302,M12w,Takamisugi,Futagoyama,Kanagawa,3/1/61,179,145,43.0431112,141.3160186
53,M15e,Tokitsunada,Tokitsukaze,Tokushima,8/2/69,187,173,35.6937382,139.7945024
1299,M13w,Kiraiho,Takadagawa,Kanagawa,1/5/66,189,159,34.8228478,135.594865
52,M14w,Tomonohana,Tatsunami,Kumamoto,6/23/64,175,114,34.8228478,135.594865
1301,M14w,Kirishima,Izutsu,Kagoshima,4/3/59,186,124,35.0044519,135.7723814
1296,M10w,Kasugafuji,Ajigawa,Miyagi,2/20/66,176.5,132,34.6788012,135.4671712
48,M11w,Oginohana,Dewanoumi,Chiba,11/18/67,187,135,35.6923601,139.7926487
1290,M14w,Wakashoyo,Futagoyama,Tokyo,3/8/66,182,164,43.0431112,141.3160186
1294,M14e,Naminohana,Futagoyama,Aomori,3/19/69,178,130,43.0431112,141.3160186
1295,M14w,Kyokudozan,Oshima,Kagoshima,10/14/64,182.5,104.5,34.7408836,139.3856256
45,M14e,Daishoho,Tatsunami,Hokkaido,5/7/67,188.5,143,34.7408836,139.3856256
1288,M16e,Kotobeppu,Sadogatake,Oita,10/17/65,177,178.5,35.7772605,139.9616965
49,M14w,Misugisato,Futagoyama,Shiga,7/1/62,185.3,157.5,43.0431112,141.3160186
75,M15w,Daihisho,Asahiyama,Osaka,8/30/73,195,175.5,43.7684103,142.480038
1286,M6w,Kenko,Takadagawa,Osaka,6/27/67,191,135,34.8228478,135.594865
1289,M4w,Rikio,Naruto,Nara,12/20/72,191,153,34.1726034,134.608866
1287,M14e,Konishiki,Takasago,U.S.A.,12/31/63,184,275,34.7661005,134.7906014
44,M15w,Kushimaumi,Dewanoumi,Wakayama,8/6/65,187,199,35.6923601,139.7926487
42,M10w,Mainoumi,Dewanoumi,Aomori,2/17/68,171,99,35.6923601,139.7926487
57,M16e,Yamato,Magaki,U.S.A.,12/17/69,189,191,37.1854839,140.4463218
30,M11e,Kitakachidoki,Isenoumi,Hokkaido,1/1/66,182,144,35.7256939,139.7456538
37,M14e,Kotoinazuma,Sadogatake,Gunma,4/26/62,180,137,35.7772605,139.9616965
32,M14e,Akinoshu,Izutsu,Hiroshima,1/17/69,179,117,35.0044519,135.7723814
21,M13e,Asahiyutaka,Oshima,Aichi,9/10/68,190,132,34.7408836,139.3856256
46,M15e,Dewaarashi,Dewanoumi,Nagasaki,7/28/70,186,186,35.6923601,139.7926487
28,M10e,Mitoizumi,Takasago,Ibaraki,9/2/62,192.3,179,34.7661005,134.7906014
23,M9w,Tochinowaka,Kasugano,Wakayama,5/22/62,190,154.5,37.1520331,138.2314092
