fighter_name,image_url
Kotoinazuma,https://upload.wikimedia.org/wikipedia/commons/3/3b/Kotoinazuma_2012_Jan.JPG
Akinoshu,https://www.bellanaija.com/wp-content/uploads/2019/08/Rotimi-Akinosho.jpg
Asahiyutaka,https://upload.wikimedia.org/wikipedia/commons/3/3c/Asahiyutaka_2010.JPG
Dewaarashi,https://static.wikia.nocookie.net/sumowrestling/images/6/65/Dewaarashi-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210329194331
Mitoizumi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Mitoizumi_09_Sep.JPG/1200px-Mitoizumi_09_Sep.JPG
Tochinowaka,https://upload.wikimedia.org/wikipedia/commons/7/75/Tochinowaka_2011_Jan.JPG
Wakanojo,https://static.wikia.nocookie.net/sumowrestling/images/0/08/Wakanojo-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210330153313
Ganyu,https://static.wikia.nocookie.net/gensin-impact/images/a/a0/Character_Ganyu_Portrait.png/revision/latest?cb=20210109020221
Ohinode,https://static.wikia.nocookie.net/sumowrestling/images/d/dd/Ohinode-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210327181107
Wakanohana,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Former_sumo_yokozuna%2C_Wakanohana_Masaru%2C_Jan_2020.jpg/1200px-Former_sumo_yokozuna%2C_Wakanohana_Masaru%2C_Jan_2020.jpg
Kotonishiki,https://sumothunder.files.wordpress.com/2018/11/kotonishiki.jpg?w=640
Asanosho,https://static.wikia.nocookie.net/sumowrestling/images/3/3d/Asanosho-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210401172854
Shikishima,https://wiki.gcdn.co/images/thumb/1/13/Shikishima_wows_main.jpg/298px-Shikishima_wows_main.jpg
Akebono,https://upload.wikimedia.org/wikipedia/commons/a/ab/SumoAkebono.jpg
Wakakosho,https://static.wikia.nocookie.net/sumowrestling/images/c/cf/Wakakosho-main.jpg/revision/latest/top-crop/width/360/height/450?cb=20210217174130
