id,rank,rikishi,heya,shusshin,birth_date,height,weight
7,O2e,Kaio,Tomozuna,Fukuoka,1972-07-24,184.0,172.0
875,M14e,Takamisakari,Azumazeki,Aomori,1976-05-12,188.0,145.0
10,M14w,Tochinonada,Kasugano,Ishikawa,1974-02-26,186.0,160.0
1187,M10e,Kokkai,Oitekaze,Georgia,1981-03-10,190.0,143.0
1134,M16w,Tsurugidake,Fujishima,Saitama,1979-02-07,180.0,161.5
1266,M16w,Nionoumi,Kitanoumi,Shiga,1986-12-16,173.0,144.0
11729,M13w,Kimikaze,Oguruma,Tokyo,1986-09-23,183.0,131.0
1032,M15e,Hochiyama,Sakaigawa,Aomori,1982-01-18,189.0,151.5
6010,M14w,Kimurayama,Kasugano,Wakayama,1981-07-13,182.0,174.0
1215,M16e,Takanoyama,Naruto,Czech,1983-02-21,185.0,98.0
900,M13w,Wakakoyu,Onomatsu,Chiba,1984-02-24,180.0,172.0
296,M15e,Yoshiazuma,Tamanoi,Kumamoto,1977-05-26,198.0,166.0
842,M16e,Miyabiyama,Fujishima,Ibaraki,1977-07-28,186.0,183.0
6034,M14w,Sagatsukasa,Irumagawa,Shizuoka,1981-12-21,165.0,131.0
6552,M15w,Sotairyu,Tokitsukaze,Fukushima,1982-07-26,179.0,119.0
5988,M16e,Oiwato,Hakkaku,Yamagata,1981-05-18,178.0,140.0
11989,M16w,Daikiho,Miyagino,Fukuoka,1989-05-13,182.0,152.0
6432,M6e,Baruto,Onoe,Estonia,1984-11-05,197.0,193.0
6497,M11e,Daido,Onomatsu,Tokyo,1982-08-21,188.0,169.0
6531,M16e,Asahisho,Tomozuna,Chiba,1989-07-21,175.0,140.0
6771,M16e,Aran,Kasugano,Russia,1984-01-31,186.0,147.0
795,M16w,Tamaasuka,Kataonami,Aichi,1983-01-26,185.0,158.5
1141,M11e,Shotenro,Fujishima,Mongolia,1982-01-31,189.0,157.5
2830,S1w,Kotooshu,Sadogatake,Bulgaria,1983-02-19,202.0,157.0
6770,M15e,Tenkaiho,Onoe,Kumamoto,1984-10-14,184.0,189.0
6654,M13e,Masunoyama,Chiganoura,Chiba,1990-11-01,180.0,174.0
39,M16e,Wakanosato,Tagonoura,Aomori,1976-07-10,184.0,161.0
6018,M13e,Homasho,Shikoroyama,Yamaguchi,1981-04-16,185.0,149.0
6767,M15e,Tochinowaka,Kasugano,Hyogo,1988-04-06,196.0,181.0
7115,M16w,Tosayutaka,Tokitsukaze,Kochi,1985-03-10,178.0,140.8
2851,M13e,Fujiazuma,Tamanoi,Tokyo,1987-04-19,182.0,183.6
41,M11w,Kyokutenho,Tomozuna,Mongolia,1974-09-13,191.0,156.0
2929,M9w,Kagamio,Kagamiyama,Mongolia,1988-02-09,182.0,136.0
2818,M14w,Tokitenku,Tokitsukaze,Mongolia,1979-09-10,186.0,143.0
1009,M16e,Asasekiryu,Takasago,Mongolia,1981-08-07,184.0,145.0
11971,M14e,Jokoryu,Kise,Tokyo,1988-08-07,187.0,162.4
5985,M15e,Satoyama,Onoe,Kagoshima,1981-05-31,177.0,121.0
813,M15w,Kitataiki,Yamahibiki,Tokyo,1982-10-05,185.0,149.0
1405,M12w,Amuru,Onomatsu,Russia,1983-08-25,192.0,126.0
6559,M14w,Seiro,Shikoroyama,Mongolia,1988-08-18,185.0,131.2
1241,M15e,Kitaharima,Yamahibiki,Hyogo,1986-07-28,182.0,121.0
2842,M15w,Sadanofuji,Sakaigawa,Nagasaki,1984-12-25,189.0,200.5
8904,M11w,Homarefuji,Isegahama,Aomori,1985-05-06,180.0,163.7
7143,M13e,Amakaze,Oguruma,Kagawa,1991-07-07,184.0,200.5
6928,M14e,Chiyootori,Kokonoe,Kagoshima,1992-10-11,179.0,178.5
11987,M16e,Osunaarashi,Otake,Egypt,1992-02-10,189.0,146.0
7239,M14w,Kyokushuho,Tomozuna,Mongolia,1988-08-09,191.0,149.6
11840,M15e,Chiyoo,Kokonoe,Kagoshima,1991-05-29,178.0,149.6
6467,M13e,Toyohibiki,Sakaigawa,Yamaguchi,1984-11-16,185.0,185.2
6572,M16e,Gagamaru,Kise,Georgia,1987-02-23,185.0,202.6
1111,Y1e,Harumafuji,Isegahama,Mongolia,1984-04-14,185.0,135.0
12226,M16e,Ura,Kise,Osaka,1992-06-22,172.0,113.0
4980,M15e,Sokokurai,Arashio,China,1984-01-09,185.0,131.6
1284,M14w,Takekaze,Oguruma,Akita,1979-06-21,170.0,144.0
89,M16w,Aminishiki,Isegahama,Aomori,1978-10-03,186.0,152.0
2832,M16e,Arawashi,Minezaki,Mongolia,1986-08-21,184.0,122.0
1235,Y1e,Kisenosato,Tagonoura,Ibaraki,1986-07-03,188.0,177.0
11724,M9e,Takanoiwa,Chiganoura,Mongolia,1990-02-26,181.0,145.5
5967,M11e,Yoshikaze,Oguruma,Oita,1982-03-19,175.0,140.3
12425,M15e,Yago,Oguruma,Hokkaido,1994-07-08,187.0,172.0
1227,M14w,Toyonoshima,Tokitsukaze,Kochi,1983-06-29,169.0,149.4
12077,M17e,Takagenji,Chiganoura,Tochigi,1997-05-13,186.0,126.2
12427,M3w,Tomokaze,Oguruma,Kanagawa,1994-12-02,183.0,168.0
12144,M15e,Daishomaru,Oitekaze,Osaka,1991-07-10,175.0,153.0
12040,M15w,Daishoho,Oitekaze,Mongolia,1994-08-28,182.0,140.0
6468,O1w,Goeido,Sakaigawa,Osaka,1986-04-06,183.0,158.2
6473,M10w,Tochiozan,Kasugano,Kochi,1987-03-09,189.0,154.0
11723,M16e,Azumaryu,Tamanoi,Mongolia,1987-05-12,192.0,147.2
6491,M9w,Ikioi,Isenoumi,Osaka,1986-10-11,194.0,157.0
7240,M15w,Chiyomaru,Kokonoe,Kagoshima,1991-04-17,178.0,176.3
6596,M16e,Nishikigi,Isenoumi,Iwate,1990-08-25,184.5,149.5
1226,M11w,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,180.0,177.0
12051,M13w,Ishiura,Miyagino,Tottori,1990-01-10,173.0,103.6
12094,M14w,Abi,Shikoroyama,Saitama,1994-05-04,185.0,121.0
6614,M15w,Shohozan,Nishonoseki,Fukuoka,1984-02-09,177.0,134.5
8899,M16e,Kyokutaisei,Tomozuna,Hokkaido,1989-10-18,184.0,128.2
12412,M11w,Enho,Miyagino,Ishikawa,1994-10-18,169.0,95.0
9079,M15w,Kotoyuki,Sadogatake,Kagawa,1991-04-02,176.0,162.4
11726,M8e,Tokushoryu,Kise,Nara,1986-08-22,182.0,170.6
11918,M13e,Akua,Tatsunami,Ibaraki,1990-11-06,181.0,162.6
2879,M17e,Sadanoumi,Sakaigawa,Kumamoto,1987-05-11,184.0,131.2
1123,Y1e,Hakuho,Miyagino,Mongolia,1985-03-11,193.0,150.7
1219,Y1w,Kakuryu,Michinoku,Mongolia,1985-08-10,186.0,150.0
12130,O1e,Shodai,Tokitsukaze,Kumamoto,1991-11-05,182.0,150.0
12291,O1w,Asanoyama,Takasago,Toyama,1994-03-01,189.0,158.0
12191,O2e,Takakeisho,Tokiwayama,Hyogo,1996-08-05,173.0,149.0
11927,S1e,Terunofuji,Isegahama,Mongolia,1991-11-29,192.0,158.5
11855,S1w,Takanosho,Tokiwayama,Chiba,1994-11-14,181.5,128.5
6480,K1e,Takayasu,Tagonoura,Ibaraki,1990-02-28,187.0,163.0
12210,K1w,Mitakeumi,Dewanoumi,Nagano,1992-12-25,179.0,149.0
11985,K2w,Daieisho,Oitekaze,Saitama,1993-11-10,179.0,135.7
11728,M1e,Takarafuji,Isegahama,Aomori,1987-02-18,186.0,161.1
12043,M1w,Onosho,Onomatsu,Aomori,1996-07-04,176.0,148.5
12239,M2e,Hokutofuji,Hakkaku,Saitama,1992-07-15,182.0,158.0
12370,M2w,Wakatakakage,Arashio,Fukushima,1994-12-06,180.0,115.0
11946,M3e,Meisei,Tatsunami,Kagoshima,1995-07-24,180.0,120.0
12024,M3w,Shimanoumi,Kise,Mie,1989-07-11,178.0,160.8
12231,M4e,Kiribayama,Michinoku,Mongolia,1996-04-24,184.0,94.0
11784,M4w,Myogiryu,Sakaigawa,Hyogo,1986-10-22,187.0,148.0
12055,M5e,Endo,Oitekaze,Ishikawa,1990-10-19,183.0,145.6
6463,M5w,Okinoumi,Hakkaku,Shimane,1985-07-29,190.0,154.0
5944,M6e,Tamawashi,Kataonami,Mongolia,1984-11-16,190.0,161.0
12107,M6w,Ichinojo,Minato,Mongolia,1993-04-07,190.0,183.0
6599,M7e,Tochinoshin,Kasugano,Georgia,1987-10-13,192.0,162.0
11845,M7w,Kagayaki,Takadagawa,Ishikawa,1994-06-01,193.0,144.3
12270,M8e,Kotonowaka,Sadogatake,Chiba,1997-11-19,186.0,147.0
12203,M8w,Tobizaru,Oitekaze,Tokyo,1992-04-24,174.0,110.0
6642,M9e,Chiyonokuni,Kokonoe,Mie,1990-07-10,184.0,143.8
12451,M9w,Hoshoryu,Tatsunami,Mongolia,1999-05-22,185.0,107.0
12352,M10e,Midorifuji,Isegahama,Shizuoka,1996-08-30,168.0,91.0
6594,M10w,Ryuden,Takadagawa,Yamanashi,1990-11-10,192.0,145.0
11934,M11e,Chiyotairyu,Kokonoe,Tokyo,1988-11-14,182.0,166.8
12449,M11w,Kotoshoho,Sadogatake,Chiba,1999-08-26,188.0,144.0
8900,M12e,Akiseyama,Kise,Aichi,1985-07-18,183.0,172.6
11786,M12w,Aoiyama,Kasugano,Bulgaria,1986-06-19,192.0,192.6
11868,M13e,Terutsuyoshi,Isegahama,Hyogo,1995-01-17,169.0,112.0
11785,M13w,Chiyoshoma,Kokonoe,Mongolia,1991-07-20,183.0,118.2
7153,M14e,Kotoeko,Sadogatake,Miyazaki,1991-11-20,175.5,111.6
12113,M14w,Tsurugisho,Oitekaze,Tokyo,1991-07-27,184.0,154.0
12292,M15e,Yutakayama,Tokitsukaze,Niigata,1993-09-22,185.0,171.0
12026,M15w,Hidenoumi,Kise,Tokyo,1989-06-11,184.0,156.2
6753,M16e,Kaisei,Tomozuna,Brazil,1986-12-18,195.0,187.8
12273,M16w,Daiamami,Oitekaze,Kagoshima,1992-12-15,185.0,167.0
